Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,05-May-23,"2,448.00","2,441.00","2,461.35","2,436.00","2,441.00","2,441.75","2,447.86","40,36,548","9,88,09,00,102.30","1,71,662","15,38,067",38.1
RELIANCE,EQ,08-May-23,"2,441.75","2,450.00","2,483.65","2,444.15","2,471.00","2,471.90","2,468.41","42,24,469","10,42,77,25,788.55","1,69,304","24,01,148",56.84
RELIANCE,EQ,09-May-23,"2,471.90","2,475.00","2,486.80","2,463.25","2,476.70","2,479.55","2,476.94","29,83,468","7,38,98,73,116.30","1,67,950","14,71,944",49.34
RELIANCE,EQ,10-May-23,"2,479.55","2,490.00","2,499.85","2,481.20","2,492.00","2,496.60","2,493.65","50,17,544","12,51,20,18,443.70","1,47,588","27,95,603",55.72
RELIANCE,EQ,11-May-23,"2,496.60","2,498.95","2,509.50","2,476.55","2,482.00","2,480.30","2,494.02","48,72,451","12,15,19,66,094.10","1,90,308","20,18,589",41.43
RELIANCE,EQ,12-May-23,"2,480.30","2,469.80","2,487.40","2,456.50","2,481.90","2,484.35","2,473.50","32,09,889","7,93,96,58,229.75","1,16,311","16,62,095",51.78
RELIANCE,EQ,15-May-23,"2,484.35","2,489.90","2,504.55","2,473.15","2,484.75","2,489.25","2,492.24","31,53,587","7,85,94,81,400.85","1,39,761","16,40,574",52.02
RELIANCE,EQ,16-May-23,"2,489.25","2,494.00","2,499.60","2,450.15","2,454.55","2,453.80","2,474.17","40,23,000","9,95,35,70,679.50","2,02,246","21,54,699",53.56
RELIANCE,EQ,17-May-23,"2,453.80","2,463.00","2,465.00","2,429.00","2,442.00","2,439.30","2,444.63","40,60,722","9,92,69,61,637.20","1,55,508","16,02,975",39.48
RELIANCE,EQ,18-May-23,"2,439.30","2,449.55","2,457.00","2,427.15","2,433.00","2,434.05","2,443.67","48,57,531","11,87,02,19,947.45","1,45,659","10,04,981",20.69
